time,LeftHipRoll_q_cmd,LeftHipRoll_dq_cmd,LeftHipRoll_tau_cmd,LeftHipRoll_q_meas,LeftHipRoll_dq_meas,LeftHipRoll_ddq_meas,LeftHipRoll_tau_meas,LeftKnee_q_cmd,LeftKnee_dq_cmd,LeftKnee_tau_cmd,LeftKnee_q_meas,LeftKnee_dq_meas,LeftKnee_ddq_meas,LeftKnee_tau_meas
6.999999999988348875e-02,1.356922147160134040e+00,2.848600470217480321e-02,0.000000000000000000e+00,1.007873535156250000e+00,2.827862799167633057e-01,0.000000000000000000e+00,3.356250000000000000e+01,8.969221471601340756e-01,2.848600470217480321e-02,0.000000000000000000e+00,8.282558917999267578e-01,1.558101326227188110e-01,0.000000000000000000e+00,6.281250000000000000e+00
7.199999999988326849e-02,1.357035722875967299e+00,2.935729037951960441e-02,0.000000000000000000e+00,1.007873535156250000e+00,2.827862799167633057e-01,0.000000000000000000e+00,3.356250000000000000e+01,8.970357228759672230e-01,2.935729037951960441e-02,0.000000000000000000e+00,8.285115361213684082e-01,1.503679454326629639e-01,0.000000000000000000e+00,6.000000000000000000e+00
7.399999999988304822e-02,1.357152675038962863e+00,3.023148830309039733e-02,0.000000000000000000e+00,1.008400797843933105e+00,2.769093215465545654e-01,0.000000000000000000e+00,3.393750000000000000e+01,8.971526750389628990e-01,3.023148830309039733e-02,0.000000000000000000e+00,8.287352323532104492e-01,1.432510912418365479e-01,0.000000000000000000e+00,6.375000000000000000e+00
7.599999999988282795e-02,1.357273012622026487e+00,3.110857291652141879e-02,0.000000000000000000e+00,1.009024024009704590e+00,2.777872681617736816e-01,0.000000000000000000e+00,3.412500000000000000e+01,8.972730126220264113e-01,3.110857291652141879e-02,0.000000000000000000e+00,8.290069103240966797e-01,1.352249532938003540e-01,0.000000000000000000e+00,6.281250000000000000e+00
7.799999999988260768e-02,1.357396744531490063e+00,3.198851832012428176e-02,0.000000000000000000e+00,1.009791016578674316e+00,2.874133288860321045e-01,0.000000000000000000e+00,3.440625000000000000e+01,8.973967445314902092e-01,3.198851832012428176e-02,0.000000000000000000e+00,8.292785286903381348e-01,1.270703226327896118e-01,0.000000000000000000e+00,6.093750000000000000e+00
7.999999999988238741e-02,1.357523879606258976e+00,3.287129826910284436e-02,0.000000000000000000e+00,1.010573983192443848e+00,2.972719073295593262e-01,0.000000000000000000e+00,3.384375000000000000e+01,8.975238796062590119e-01,3.287129826910284436e-02,0.000000000000000000e+00,8.295821547508239746e-01,1.213015988469123840e-01,0.000000000000000000e+00,6.562500000000000000e+00
8.199999999988216715e-02,1.357654426616952570e+00,3.375688617177432377e-02,0.000000000000000000e+00,1.011165142059326172e+00,3.011706471443176270e-01,0.000000000000000000e+00,3.356250000000000000e+01,8.976544266169526054e-01,3.375688617177432377e-02,0.000000000000000000e+00,8.298857212066650391e-01,1.185750290751457214e-01,0.000000000000000000e+00,6.468750000000000000e+00
8.399999999988194688e-02,1.357788394265043053e+00,3.464525508779706803e-02,0.000000000000000000e+00,1.011660575866699219e+00,2.974827885627746582e-01,0.000000000000000000e+00,3.253125000000000000e+01,8.977883942650430882e-01,3.464525508779706803e-02,0.000000000000000000e+00,8.298857212066650391e-01,1.185750290751457214e-01,0.000000000000000000e+00,6.468750000000000000e+00
8.599999999988172661e-02,1.357925791181988417e+00,3.553637772640488163e-02,0.000000000000000000e+00,1.012091994285583496e+00,2.868562638759613037e-01,0.000000000000000000e+00,3.337500000000000000e+01,8.979257911819884530e-01,3.553637772640488163e-02,0.000000000000000000e+00,8.302851915359497070e-01,1.206285282969474792e-01,0.000000000000000000e+00,6.468750000000000000e+00
8.799999999988150634e-02,1.358066625928361804e+00,3.643022644464832122e-02,0.000000000000000000e+00,1.012091994285583496e+00,2.868562638759613037e-01,0.000000000000000000e+00,3.337500000000000000e+01,8.980666259283619501e-01,3.643022644464832122e-02,0.000000000000000000e+00,8.307166695594787598e-01,1.266380250453948975e-01,0.000000000000000000e+00,6.562500000000000000e+00
